ID,Name,Concepticon_ID,Concepticon_Gloss,Parameter,Group,Dataset
fBW,female ego's brother's wife,,,fBW,Affines,varikin;parabank
fD,female ego's daughter,,,fD,children,varikin;parabank
fDD,female ego's daugher's daughter,,,fDD,Grandparents & -children,varikin;parabank
fDH,female ego's daughter's husband,2266,SON-IN-LAW (OF WOMAN),fDH,Affines,varikin;parabank
fDS,female ego's daughter's son,,,fDS,Grandparents & -children,varikin;parabank
fF,female ego's father,,,fF,Parents,varikin;parabank
fFBD,female ego's father's brother's daughter,,,fFBD,Cousins,varikin;parabank
fFBS,female ego's father's brother's son,,,fFBS,Cousins,varikin;parabank
fFF,female ego's father's father,,,fFF,Grandparents & -children,varikin;parabank
fFM,female ego's father's mother,,,fFM,Grandparents & -children,varikin;parabank
fFZD,female ego's father's sister's daughter,,,fFZD,Cousins,varikin;parabank
fFZS,female ego's father's sister's son,,,fFZS,Cousins,varikin;parabank
fFeB,female ego's father's older brother,,,fFeB,Uncles & Aunts,varikin;parabank
fFeBW,fFeBW,,,fFeBW,,parabank
fFeZ,female ego's father's older sister,,,fFeZ,Uncles & Aunts,varikin;parabank
fFyB,female ego's father's younger brother,,,fFyB,Uncles & Aunts,varikin;parabank
fFyZ,female ego's father's younger sister,,,fFyZ,Uncles & Aunts,varikin;parabank
fFyZD,female ego‘s father‘s younger sister‘s daughter,,,fFyZD,Cousins by relative age of parent,varikin;parabank
fFyZS,female ego‘s father‘s younger sister‘s son,,,fFyZS,Cousins by relative age of parent,varikin;parabank
fH,female ego‘s husband,1200,HUSBAND,fH,Affines,varikin;parabank
fHB,female ego's husband's brother,,,fHB,Affines,varikin;parabank
fHBW,female ego's husband's brother's wife,,,fHBW,Affines,parabank
fHF,female ego's husband's father,2254,FATHER-IN-LAW (OF WOMAN),fHF,Affines,varikin;parabank
fHM,female ego's husband's mother,2256,MOTHER-IN-LAW (OF WOMAN),fHM,Affines,varikin;parabank
fHZ,female ego's husband's sister,,,fHZ,Affines,varikin;parabank
fHZH,female ego's husband's sister's husband,,,fHZH,Affines,varikin;parabank
fM,female ego's mother,,,fM,Parents,varikin;parabank
fMBD,female ego's mother's brother's daughter,,,fMBD,Cousins,varikin;parabank
fMBS,female ego's mother's brother's son,,,fMBS,Cousins,varikin;parabank
fMF,female ego's mother's father,,,fMF,Grandparents & -children,varikin;parabank
fMM,female ego's mother's mother,,,fMM,Grandparents & -children,varikin;parabank
fMZD,female ego's mother's sister's daughter,,,fMZD,Cousins,varikin;parabank
fMZS,female ego's mother's sister's son,,,fMZS,Cousins,varikin;parabank
fMeB,female ego's mother's older brother,,,fMeB,Uncles & Aunts,varikin;parabank
fMeZ,female ego's mother's older sister,,,fMeZ,Uncles & Aunts,varikin;parabank
fMyB,female ego's mother's younger brother,,,fMyB,Uncles & Aunts,varikin;parabank
fMyZ,female ego's mother's younger sister,,,fMyZ,Uncles & Aunts,varikin;parabank
fS,female ego's son,,,fS,children,varikin;parabank
fSD,female ego's son's daughter,,,fSD,Grandparents & -children,varikin;parabank
fSS,female ego's son's son,,,fSS,Grandparents & -children,varikin;parabank
fSW,female ego's son's wife,2264,DAUGHTER-IN-LAW (OF WOMAN),fSW,Affines,varikin;parabank
fZH,female ego's sister's husband,,,fZH,Affines,varikin;parabank
feB,female ego's older brother,2415,OLDER BROTHER (OF WOMAN),feB,Siblings,varikin;parabank
feBD,female ego's older brother's daughter,,,feBD,Nieces & Nephews,varikin;parabank
feBS,female ego's older brother's son,,,feBS,Nieces & Nephews,varikin;parabank
feZ,female ego's older sister,2419,OLDER SISTER (OF WOMAN),feZ,Siblings,varikin;parabank
feZD,female ego's older sister's daughter,,,feZD,Nieces & Nephews,varikin;parabank
feZS,female ego's older sister's son,,,feZS,Nieces & Nephews,varikin;parabank
fyB,female ego's younger brother,2417,YOUNGER BROTHER (OF WOMAN),fyB,Siblings,varikin;parabank
fyBD,female ego's younger brother's daughter,,,fyBD,Nieces & Nephews,varikin;parabank
fyBS,female ego's younger brother's son,,,fyBS,Nieces & Nephews,varikin;parabank
fyZ,female ego's younger sister,2421,YOUNGER SISTER (OF WOMAN),fyZ,Siblings,varikin;parabank
fyZD,female ego's younger sister's daughter,,,fyZD,Nieces & Nephews,varikin;parabank
fyZS,female ego's younger sister's son,,,fyZS,Nieces & Nephews,varikin;parabank
mBW,male ego's brother's wife,,,mBW,Affines,varikin;parabank
mD,male ego's daughter,,,mD,children,varikin;parabank
mDD,male ego's daughter's daughter,,,mDD,Grandparents & -children,varikin;parabank
mDH,male ego's daughter's husband,2267,SON-IN-LAW (OF MAN),mDH,Affines,varikin;parabank
mDS,male ego's daughter's son,,,mDS,Grandparents & -children,varikin;parabank
mF,male ego's father,,,mF,Parents,varikin;parabank
mFBD,male ego's father's brother's daughter,,,mFBD,Cousins,varikin;parabank
mFBS,male ego's father's brother's son,,,mFBS,Cousins,varikin;parabank
mFF,male ego's father‘s father,,,mFF,Grandparents & -children,varikin;parabank
mFM,male ego's father's mother,,,mFM,Grandparents & -children,varikin;parabank
mFZD,male ego's father's sister's daughter,,,mFZD,Cousins,varikin;parabank
mFZS,male ego's father's sister's son,,,mFZS,Cousins,varikin;parabank
mFeB,male ego's father's older brother,,,mFeB,Uncles & Aunts,varikin;parabank
mFeBW,male ego's father‘s older brother‘s wife,,,mFeBW,Affines,parabank
mFeZ,male ego's father's older sister,,,mFeZ,Uncles & Aunts,varikin;parabank
mFyB,male ego's father's younger brother,,,mFyB,Uncles & Aunts,varikin;parabank
mFyZ,male ego's father's younger sister,,,mFyZ,Uncles & Aunts,varikin;parabank
mFyZD,male ego‘s father‘s younger sister‘s daughter,,,mFyZD,Cousins by relative age of parent,varikin;parabank
mFyZS,male ego‘s father‘s younger sister‘s son,,,mFyZS,Cousins by relative age of parent,varikin;parabank
mM,male ego's mother,,,mM,Parents,varikin;parabank
mMBD,male ego's mother's brother's daughter,,,mMBD,Cousins,varikin;parabank
mMBS,male ego's mother's brother's son,,,mMBS,Cousins,varikin;parabank
mMF,male ego's mother's father,,,mMF,Grandparents & -children,varikin;parabank
mMM,male ego's mother's mother,,,mMM,Grandparents & -children,varikin;parabank
mMZD,male ego's mother's sister's daughter,,,mMZD,Cousins,varikin;parabank
mMZS,male ego's mother's sister's son,,,mMZS,Cousins,varikin;parabank
mMeB,male ego's mother's older brother,,,mMeB,Uncles & Aunts,varikin;parabank
mMeZ,male ego's mother's older sister,,,mMeZ,Uncles & Aunts,varikin;parabank
mMyB,male ego's mother's younger brother,,,mMyB,Uncles & Aunts,varikin;parabank
mMyZ,male ego's mother's younger sister,,,mMyZ,Uncles & Aunts,varikin;parabank
mS,male ego's son,,,mS,Children,varikin;parabank
mSD,male ego's son's daughter,,,mSD,Grandparents & -children,varikin;parabank
mSS,male ego's son's son,,,mSS,Grandparents & -children,varikin;parabank
mSW,male ego's son's wife,2265,DAUGHTER-IN-LAW (OF MAN),mSW,Affines,varikin;parabank
mW,male ego's wife,1199,WIFE,mW,Affines,varikin;parabank
