"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"1","myB","suzer̃-vɩn",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","younger siblings"
"2","myZ","suzer̃-vɩn",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","younger siblings"
"3","meB","apay-agay",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","elder siblings"
"4","meZ","apay-agay",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","elder siblings"
"5","mG","sestra-brat",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","Russian loan"
"6","mG","agay-vɩn",NA,NA,NA,"UR17","jedygarova_udmu1245_2020",""
"7","mG","suzer̃-apay",NA,NA,NA,"UR17","jedygarova_udmu1245_2020",""
"8","mB","brat",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","Russian loan"
"9","mZ","sestra",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","Russian loan"
"10","meB","agay",NA,NA,NA,"UR17","jedygarova_udmu1245_2020",""
"11","myB","etʸe,",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","younger (toddler) brother_ also used as addressing term; also  eke"
"12","myZ","dɩdɩ",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","younger (toddler) sister, also used as addressing term, also used dʸɩdʸɩ"
"13","mP","anay-atay",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","anay-atay is used in southern dialects and in the standard language,"
"14","mF","dʸadʸay",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","Russian-based terms,  the accent is on the last syllable; also used  tʸatʸa, batʸu, papa"
"15","mF","bubɩ",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","bubɩ is used mostly in middle dialects, it is not used when adressing"
"16","mM","memi",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","also memey"
"17","mM","mama",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","Russian loan, the accent is on the last syllable"
"18","mA","čɩžɩ-vɩžɩ",NA,NA,NA,"UR17","jedygarova_udmu1245_2020","relatives, all relatives including ancestors"
